Epi_week,Category,Incidence
2015_19,Manaus,0.096913828
2015_20,Brazil,0
2015_20,Amazonas,0
2015_20,Manaus,0
2015_21,Brazil,0
2015_21,Amazonas,0
2015_21,Manaus,0
2015_22,Brazil,0.000492415
2015_22,Amazonas,0
2015_22,Manaus,0
2015_23,Brazil,0.000492415
2015_23,Amazonas,0
2015_23,Manaus,0
2015_24,Brazil,0.00196966
2015_24,Amazonas,0
2015_24,Manaus,0
2015_25,Brazil,0
2015_25,Amazonas,0
2015_25,Manaus,0
2015_26,Brazil,0
2015_26,Amazonas,0
2015_26,Manaus,0
2015_27,Brazil,0
2015_27,Amazonas,0
2015_27,Manaus,0
2015_28,Brazil,0
2015_28,Amazonas,0
2015_28,Manaus,0
2015_29,Brazil,0
2015_29,Amazonas,0
2015_29,Manaus,0
2015_30,Brazil,0
2015_30,Amazonas,0
2015_30,Manaus,0
2015_31,Brazil,0.001477245
2015_31,Amazonas,0
2015_31,Manaus,0
2015_32,Brazil,0.001477245
2015_32,Amazonas,0.050740649
2015_32,Manaus,0.096913828
2015_33,Brazil,0
2015_33,Amazonas,0
2015_33,Manaus,0
2015_34,Brazil,0
2015_34,Amazonas,0
2015_34,Manaus,0
2015_35,Brazil,0.000492415
2015_35,Amazonas,0.025370324
2015_35,Manaus,0.048456914
2015_36,Brazil,0.000492415
2015_36,Amazonas,0
2015_36,Manaus,0
2015_37,Brazil,0.000492415
2015_37,Amazonas,0
2015_37,Manaus,0
2015_38,Brazil,0.00098483
2015_38,Amazonas,0
2015_38,Manaus,0
2015_39,Brazil,0
2015_39,Amazonas,0
2015_39,Manaus,0
2015_40,Brazil,0.00098483
2015_40,Amazonas,0
2015_40,Manaus,0
2015_41,Brazil,0
2015_41,Amazonas,0
2015_41,Manaus,0
2015_42,Brazil,0
2015_42,Amazonas,0
2015_42,Manaus,0
2015_43,Brazil,0
2015_43,Amazonas,0
2015_43,Manaus,0
2015_44,Brazil,0
2015_44,Amazonas,0
2015_44,Manaus,0
2015_45,Brazil,0.00098483
2015_45,Amazonas,0
2015_45,Manaus,0
2015_46,Brazil,0.000492415
2015_46,Amazonas,0
2015_46,Manaus,0
2015_47,Brazil,0
2015_47,Amazonas,0
2015_47,Manaus,0
2015_48,Brazil,0
2015_48,Amazonas,0
2015_48,Manaus,0
2015_49,Brazil,0
2015_49,Amazonas,0
2015_49,Manaus,0
2015_50,Brazil,0
2015_50,Amazonas,0
2015_50,Manaus,0
2015_51,Brazil,0
2015_51,Amazonas,0
2015_51,Manaus,0
2015_52,Brazil,0
2015_52,Amazonas,0
2015_52,Manaus,0
2016_01,Brazil,0
2016_01,Amazonas,0
2016_01,Manaus,0
2016_02,Brazil,0
2016_02,Amazonas,0
2016_02,Manaus,0
2016_03,Brazil,0
2016_03,Amazonas,0
2016_03,Manaus,0
2016_04,Brazil,0
2016_04,Amazonas,0
2016_04,Manaus,0
2016_05,Brazil,0
2016_05,Amazonas,0
2016_05,Manaus,0
2016_06,Brazil,0
2016_06,Amazonas,0
2016_06,Manaus,0
2016_07,Brazil,0
2016_07,Amazonas,0
2016_07,Manaus,0
2016_08,Brazil,0.00098483
2016_08,Amazonas,0
2016_08,Manaus,0
2016_09,Brazil,0
2016_09,Amazonas,0
2016_09,Manaus,0
2016_10,Brazil,0.000492415
2016_10,Amazonas,0
2016_10,Manaus,0
2016_11,Brazil,0.000492415
2016_11,Amazonas,0
2016_11,Manaus,0
2016_12,Brazil,0.00196966
2016_12,Amazonas,0
2016_12,Manaus,0
2016_13,Brazil,0.000492415
2016_13,Amazonas,0
2016_13,Manaus,0
2016_14,Brazil,0
2016_14,Amazonas,0
2016_14,Manaus,0
2016_15,Brazil,0.000492415
2016_15,Amazonas,0
2016_15,Manaus,0
2016_16,Brazil,0.000492415
2016_16,Amazonas,0
2016_16,Manaus,0
2016_17,Brazil,0.00098483
2016_17,Amazonas,0
2016_17,Manaus,0
2016_18,Brazil,0
2016_18,Amazonas,0
2016_18,Manaus,0
2016_19,Brazil,0
2016_19,Amazonas,0
2016_19,Manaus,0
2016_20,Brazil,0.000492415
2016_20,Amazonas,0
2016_20,Manaus,0
2016_21,Brazil,0
2016_21,Amazonas,0
2016_21,Manaus,0
2016_22,Brazil,0
2016_22,Amazonas,0
2016_22,Manaus,0
2016_23,Brazil,0.00196966
2016_23,Amazonas,0
2016_23,Manaus,0
2016_24,Brazil,0
2016_24,Amazonas,0
2016_24,Manaus,0
2016_25,Brazil,0.002462075
2016_25,Amazonas,0
2016_25,Manaus,0
2016_26,Brazil,0
2016_26,Amazonas,0
2016_26,Manaus,0
2016_27,Brazil,0.000492415
2016_27,Amazonas,0
2016_27,Manaus,0
2016_28,Brazil,0
2016_28,Amazonas,0
2016_28,Manaus,0
2016_29,Brazil,0.000492415
2016_29,Amazonas,0
2016_29,Manaus,0
2016_30,Brazil,0.008371054
2016_30,Amazonas,0
2016_30,Manaus,0
2016_31,Brazil,0
2016_31,Amazonas,0
2016_31,Manaus,0
2016_32,Brazil,0.000492415
2016_32,Amazonas,0
2016_32,Manaus,0
2016_33,Brazil,0.00393932
2016_33,Amazonas,0
2016_33,Manaus,0
2016_34,Brazil,0.001477245
2016_34,Amazonas,0
2016_34,Manaus,0
2016_35,Brazil,0.001477245
2016_35,Amazonas,0.050740649
2016_35,Manaus,0
2016_36,Brazil,0.000492415
2016_36,Amazonas,0
2016_36,Manaus,0
2016_37,Brazil,0.000492415
2016_37,Amazonas,0
2016_37,Manaus,0
2016_38,Brazil,0.001477245
2016_38,Amazonas,0
2016_38,Manaus,0
2016_39,Brazil,0.000492415
2016_39,Amazonas,0
2016_39,Manaus,0
2016_40,Brazil,0.000492415
2016_40,Amazonas,0
2016_40,Manaus,0
2016_41,Brazil,0
2016_41,Amazonas,0
2016_41,Manaus,0
2016_42,Brazil,0
2016_42,Amazonas,0
2016_42,Manaus,0
2016_43,Brazil,0
2016_43,Amazonas,0
2016_43,Manaus,0
2016_44,Brazil,0.000492415
